Test Case	plcsharp	plv8	plpython	plpgsql	pljava	plperl	pllua	pltcl	plr
sumNullArgBigInt(9223372036854775707,null)	0.006851	0.014404	0.009423	0.006602	0.005015	-	0.010392	0.009423	0.014602
sumNullArgBigInt(9223372036854775707,100)	0.007543	0.015546	0.010212	0.007275	0.013947	0.009245	0.010982	0.012407	-
checkedSumNullArgInt(null,null)	0.006561	0.012636	0.007126	0.006411	0.010764	0.006666	0.00859	0.008471	0.012546
checkedSumNullArgInt(null,3)	0.00718	0.012709	0.007159	0.00615	0.009997	0.006713	0.008599	0.008549	0.012423
checkedSumNullArgInt(3,null)	0.008188	0.013223	0.007251	0.007073	0.010692	0.007081	0.008509	0.009433	0.012862
checkedSumNullArgInt(3,3)	0.006575	0.013542	0.007954	0.006321	0.010858	0.007779	0.009968	0.011092	0.014792
checkedSumNullArgSmallInt(null,null)	0.006606	0.013633	0.007268	0.006484	0.010203	0.006581	0.008393	0.008743	0.012602
checkedSumNullArgSmallInt(null,CAST(133ASsmallint))	0.008446	0.015142	0.009197	0.008149	0.012295	0.008923	0.010849	0.010903	0.015017
checkedSumNullArgSmallInt(CAST(133ASsmallint),null)	0.008149	0.015715	0.009111	0.008257	0.011949	0.009089	0.010575	0.010435	0.014884
checkedSumNullArgSmallInt(CAST(133ASsmallint),CAST(133ASsmallint)	0.009543	0.016591	0.011161	0.009151	0.013818	0.01107	0.013065	0.014304	0.018108
checkedSumNullArgBigInt(null,null)	0.006582	0.012958	0.00732	0.007747	0.01024	0.006673	0.008651	0.008603	0.013688
checkedSumNullArgBigInt(null,100)	0.007519	0.014203	0.008168	0.007275	0.011408	0.008044	0.009509	0.009885	0.014391
checkedSumNullArgBigInt(9223372036854775707,null)	0.00661	0.013691	0.00769	0.006498	0.010647	-	0.008692	0.00938	0.013896
checkedSumNullArgBigInt(9223372036854775707,100)	0.007645	0.015691	0.009434	0.007404	0.011995	0.009345	0.011187	0.012938	-
checkedSumNullArgMixed(null,null,null)	0.007008	0.013332	0.007517	0.00674	0.010744	0.006977	0.008871	0.008868	0.013352
checkedSumNullArgMixed(null,CAST(1313assmallint),null)	0.008616	0.015574	0.009643	0.008461	0.012889	0.009386	0.010867	0.011656	0.015597
checkedSumNullArgMixed(1313,null,null)	0.007077	0.01353	0.00761	0.006795	0.010672	0.007451	0.008945	0.01045	0.013973
checkedSumNullArgMixed(null,null,3)	0.007733	0.01483	0.008471	0.007693	0.011731	0.008367	0.009803	0.010107	0.014509
checkedSumNullArgMixed(1313,CAST(1313assmallint),1313)	0.009307	0.019411	0.010916	0.009057	0.015162	0.011113	0.012876	0.014636	0.021849
fibbb	0.022685	2.016191	17.974369	2.171486	0.002608	-	-	-	-
fact	0.008264	0.042219	0.12059	0.027853	0.016734	-	-	-	-
